| time |out |
|  0   | 00 |
|  1   | 00 |
|  2   | 00 |
|  3   | 01 |
|  4   | 01 |
|  5   | 01 |
|  6   | 01 |
|  7   | 01 |
|  8   | 01 |
|  9   | 01 |
|  10  | 01 |
|  11  | 01 |
|  12  | 10 |
|  13  | 10 |
|  14  | 10 |
|  15  | 00 |
|  16  | 00 |
|  17  | 00 |
|  18  | 00 |
|  19  | 01 |
|  20  | 01 |
|  21  | 01 |
|  22  | 01 |
|  23  | 01 |
|  24  | 01 |
|  25  | 01 |
